Rk,Tkl-Tack,TklW-Tack,Def3rd-Tack,Mid3rd-Tack,Att3rd-Tack,Tkl-Chal,Att-Chal,Tkl%-Chal,Lost-Chal,Blocks-Bloc,Sh-Tack-Bloc,Pass-Tack-Bloc,Int,Tkl+Int,Clr,Err
1995,0,0,0,0,0,0,2,0,2,0,0,0,1,1,0,1
1996,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
1997,25,17,13,9,3,8,27,29.6,19,16,2,14,14,39,13,0
1998,32,22,20,11,1,13,25,52,12,40,24,16,44,76,123,2
1999,0,0,0,0,0,0,2,0,2,1,0,1,1,1,2,0
2000,21,13,9,11,1,13,29,44.8,16,9,4,5,5,26,14,0
2001,1,0,1,0,0,1,2,50,1,2,0,2,0,1,5,1
2002,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
2003,10,5,1,2,7,2,6,33.3,4,16,3,13,3,13,17,0
2004,1,1,0,1,0,0,0,,0,0,0,0,1,2,3,0
2005,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,1
2006,9,6,3,5,1,3,7,42.9,4,7,1,6,11,20,8,0
2007,1,0,0,0,1,1,3,33.3,2,0,0,0,1,2,0,0
2008,36,23,13,21,2,16,39,41,23,9,3,6,18,54,11,0
2009,14,10,7,4,3,8,15,53.3,7,11,6,5,4,18,9,0
2010,21,15,9,11,1,11,23,47.8,12,10,1,9,14,35,15,1
2011,34,18,19,13,2,18,32,56.3,14,14,3,11,27,61,21,0
2012,0,0,0,0,0,0,1,0,1,1,0,1,1,1,17,2
2013,39,22,16,22,1,11,40,27.5,29,19,1,18,26,65,13,0
2014,6,1,0,3,3,3,7,42.9,4,3,0,3,2,8,3,0
2015,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
2016,27,14,16,9,2,15,31,48.4,16,42,33,9,72,99,172,1
2017,15,11,2,8,5,3,14,21.4,11,12,2,10,6,21,5,0
2018,18,10,7,7,4,7,21,33.3,14,18,2,16,10,28,16,1
2019,13,4,7,4,2,9,15,60,6,5,1,4,6,19,17,0
2020,42,30,14,23,5,22,51,43.1,29,37,5,32,51,93,35,1
2021,14,11,6,5,3,7,17,41.2,10,3,0,3,4,18,12,0
2022,2,1,2,0,0,2,2,100,0,0,0,0,0,2,18,1
2023,6,4,4,2,0,3,3,100,0,6,4,2,6,12,18,0
2024,4,2,2,1,1,1,3,33.3,2,2,0,2,1,5,4,0
2025,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1
2026,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2027,86,56,35,47,4,20,46,43.5,26,33,6,27,51,137,38,0
2028,30,19,12,14,4,15,38,39.5,23,20,1,19,28,58,11,2
2029,69,38,56,10,3,37,55,67.3,18,21,8,13,18,87,61,0
2030,42,28,20,19,3,18,59,30.5,41,31,3,28,13,55,22,0
2031,51,33,40,11,0,34,59,57.6,25,40,19,21,53,104,116,1
2032,2,1,1,1,0,0,2,0,2,3,0,3,1,3,0,0
2033,37,22,29,8,0,20,26,76.9,6,26,18,8,34,71,87,1
2034,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2035,46,25,16,22,8,22,34,64.7,12,23,8,15,27,73,66,0
2036,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2037,2,0,1,0,1,0,9,0,9,3,1,2,2,4,0,0
2038,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
2039,19,10,8,7,4,6,25,24,19,26,4,22,18,37,14,0
2040,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
2041,3,2,2,1,0,2,3,66.7,1,2,0,2,2,5,0,0
2042,68,38,24,26,18,17,51,33.3,34,43,5,38,9,77,22,0
2043,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2044,1,0,0,0,1,0,0,,0,1,0,1,0,1,0,0
2045,23,13,9,11,3,12,24,50,12,10,6,4,10,33,5,2
2046,43,29,15,15,13,20,52,38.5,32,32,7,25,29,72,19,1
2047,35,19,25,5,5,13,31,41.9,18,30,10,20,22,57,42,0
2048,2,1,2,0,0,1,3,33.3,2,0,0,0,0,2,5,0
2049,43,29,22,17,4,18,44,40.9,26,22,4,18,23,66,35,2
2050,27,12,8,13,6,12,30,40,18,27,6,21,20,47,14,0
2051,13,9,8,4,1,6,12,50,6,5,1,4,4,17,7,0
2052,7,3,3,2,2,3,12,25,9,5,1,4,4,11,2,0
2053,21,15,17,4,0,9,20,45,11,22,11,11,12,33,44,2
2054,0,0,0,0,0,0,0,,0,1,0,1,0,0,10,3
2055,22,13,6,13,3,13,27,48.1,14,14,1,13,6,28,7,0
2056,21,12,16,5,0,14,20,70,6,18,12,6,39,60,88,0
2057,35,20,21,13,1,19,29,65.5,10,28,16,12,36,71,50,1
2058,23,16,8,13,2,8,12,66.7,4,5,3,2,9,32,15,0
2059,10,6,2,5,3,3,9,33.3,6,9,5,4,2,12,12,0
2060,16,8,4,10,2,7,31,22.6,24,9,0,9,9,25,3,0
2061,28,21,8,15,5,12,27,44.4,15,13,4,9,15,43,30,0
2062,34,16,17,12,5,10,28,35.7,18,12,3,9,31,65,32,0
2063,20,12,9,8,3,7,20,35,13,13,0,13,5,25,7,1
