Rk,Gls.Stan,Sh.Stan,SoT.Stan,SoT%.Stan,Sh/90.Stan,SoT/90.Stan,G/Sh.Stan,G/SoT.Stan,Dist.Stan,FK.Stan,PK.Stan,PKatt.Stan,xG,npxG,npxG/Sh,G-xG,np:G-xG
2538,1,3,2,66.7,0.8,0.53,0.33,0.5,12.7,0,0,0,1,1,0.34,0,0
2539,1,8,4,50,0.33,0.16,0.13,0.25,14.7,0,0,0,1.2,1.2,0.15,-0.2,-0.2
2540,2,25,12,48,1.07,0.51,0.08,0.17,21.6,5,0,0,2.1,2.1,0.08,-0.1,-0.1
2541,18,76,30,39.5,2.73,1.08,0.16,0.4,16.3,7,6,7,17.7,12.2,0.16,+0.3,-0.2
2542,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2543,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2544,3,33,9,27.3,2.67,0.73,0.09,0.33,14.4,0,0,1,4.7,3.9,0.12,-1.7,-0.9
2545,3,18,6,33.3,0.94,0.31,0.17,0.5,17.6,0,0,0,1.9,1.9,0.11,+1.1,+1.1
2546,0,8,3,37.5,0.32,0.12,0,0,9.3,0,0,0,1,1,0.12,-1,-1
2547,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2548,0,22,3,13.6,1.01,0.14,0,0,23.2,0,0,0,0.9,0.9,0.04,-0.9,-0.9
2549,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2550,0,1,0,0,0.55,0,0,,11.9,0,0,0,0.1,0.1,0.08,-0.1,-0.1
2551,1,18,4,22.2,0.6,0.13,0.06,0.25,23.9,0,0,1,1.6,0.8,0.05,-0.6,+0.2
2552,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2553,0,5,1,20,0.46,0.09,0,0,7.1,0,0,0,0.8,0.8,0.17,-0.8,-0.8
2554,3,30,8,26.7,1.17,0.31,0.1,0.38,16.1,0,0,0,2.2,2.2,0.07,+0.8,+0.8
2555,0,3,0,0,0.65,0,0,,11.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2
2556,2,16,5,31.3,1.15,0.36,0.13,0.4,14.9,0,0,0,1.2,1.2,0.08,+0.8,+0.8
2557,2,7,2,28.6,5.16,1.48,0.29,1,16.4,0,0,0,0.6,0.6,0.09,+1.4,+1.4
