,SCA,SCA,SCA,SCA,SCA,SCA,SCA,SCA,GCA,GCA,GCA,GCA,GCA,GCA,GCA,GCA
Rk,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
242,6,7.2,5,0,1,0,0,0,1,1.2,1,0,0,0,0,0
243,8,1.49,7,0,0,1,0,0,0,0,0,0,0,0,0,0
244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,5,1.45,4,0,0,1,0,0,1,0.29,1,0,0,0,0,0
246,21,3.79,15,0,3,2,1,0,5,0.9,2,0,1,1,1,0
247,36,3.93,18,8,4,4,2,0,4,0.44,3,0,1,0,0,0
248,1,0.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0
249,53,2.92,41,0,4,5,2,1,8,0.44,4,0,1,1,1,1
250,34,1.32,32,0,0,1,1,0,1,0.04,1,0,0,0,0,0
251,23,0.72,21,0,0,2,0,0,2,0.06,1,0,0,1,0,0
252,10,0.54,9,0,0,0,1,0,0,0,0,0,0,0,0,0
253,66,2.38,54,1,4,2,5,0,8,0.29,8,0,0,0,0,0
254,28,3.69,15,0,2,6,4,1,4,0.53,2,0,0,1,1,0
255,52,2.01,32,5,2,5,7,1,5,0.19,3,0,0,1,1,0
256,47,2.14,39,6,2,0,0,0,7,0.32,6,0,1,0,0,0
257,104,3.35,72,0,13,5,11,3,17,0.55,11,0,2,0,2,2
258,5,1.04,3,0,0,1,1,0,0,0,0,0,0,0,0,0
259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,38,2.49,18,2,2,7,9,0,4,0.26,1,0,1,0,2,0
261,38,1.32,34,0,1,1,1,1,1,0.03,0,0,0,1,0,0
262,13,3.73,9,2,1,1,0,0,2,0.57,1,0,1,0,0,0
263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,71,2.53,57,0,4,5,5,0,14,0.5,10,0,2,1,1,0
265,1,0.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0
266,7,1.65,5,0,0,1,1,0,0,0,0,0,0,0,0,0
267,12,1.84,7,0,3,2,0,0,3,0.46,2,0,0,1,0,0
268,1,1.67,1,0,0,0,0,0,0,0,0,0,0,0,0,0
269,14,5.12,6,5,0,1,1,1,1,0.37,0,0,0,1,0,0
270,3,0.08,3,0,0,0,0,0,1,0.03,1,0,0,0,0,0
271,2,1.53,1,0,1,0,0,0,0,0,0,0,0,0,0,0
272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,61,3.6,44,7,4,1,3,2,3,0.18,3,0,0,0,0,0
276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,75,3.11,58,0,7,7,3,0,8,0.33,7,0,0,1,0,0
278,31,1.45,24,2,0,1,1,3,4,0.19,3,0,0,1,0,0
279,18,1.07,15,0,1,1,1,0,1,0.06,1,0,0,0,0,0
280,38,2.51,33,0,1,2,1,1,7,0.46,6,0,0,1,0,0
281,36,2.81,30,1,0,3,0,2,3,0.23,2,0,0,1,0,0
282,23,1.81,19,0,1,1,2,0,2,0.16,1,0,0,0,1,0
283,128,4.45,108,0,12,7,1,0,22,0.77,16,0,5,1,0,0
284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,170,5.42,126,22,8,3,8,3,22,0.7,17,2,1,0,2,0
286,17,1.51,14,2,0,0,1,0,3,0.27,2,1,0,0,0,0
287,77,3.2,47,16,6,3,4,1,10,0.41,6,2,0,1,0,1
288,54,1.65,39,7,4,2,2,0,7,0.21,4,2,1,0,0,0
289,23,1.88,16,0,1,4,2,0,2,0.16,2,0,0,0,0,0
290,5,1.47,4,0,0,1,0,0,1,0.29,1,0,0,0,0,0
291,27,2.47,17,5,4,1,0,0,0,0,0,0,0,0,0,0
