,Stan,Stan,Stan,Stan,Stan,Stan,Stan,Stan,Stan,Stan,Stan,Stan,Expe,Expe,Expe,Expe,Expe
Rk,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
2048,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2049,2,44,9,20.5,1.95,0.4,0.05,0.22,22.5,2,0,0,2.8,2.8,0.06,-0.8,-0.8
2050,13,49,20,40.8,2.2,0.9,0.27,0.65,11.9,0,0,0,8.7,8.7,0.18,+4.3,+4.3
2051,1,3,1,33.3,0.57,0.19,0.33,1,16.7,0,0,0,0.1,0.1,0.05,+0.9,+0.9
2052,0,8,2,25,1.37,0.34,0,0,18.1,0,0,0,0.5,0.5,0.06,-0.5,-0.5
2053,1,6,2,33.3,0.33,0.11,0.17,0.5,9.2,0,0,0,0.9,0.9,0.14,+0.1,+0.1
2054,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2055,4,27,14,51.9,2,1.03,0.15,0.29,13.7,0,0,0,4.1,4.1,0.15,-0.1,-0.1
2056,2,6,3,50,0.34,0.17,0.33,0.67,16.5,0,0,0,0.8,0.8,0.13,+1.2,+1.2
2057,0,18,3,16.7,0.78,0.13,0,0,21.5,0,0,0,0.7,0.7,0.04,-0.7,-0.7
2058,0,5,1,20,1,0.2,0,0,9.9,0,0,0,0.5,0.5,0.11,-0.5,-0.5
2059,5,36,11,30.6,2.13,0.65,0.14,0.45,10.6,0,0,0,6.6,6.6,0.18,-1.6,-1.6
2060,12,61,18,29.5,2.12,0.62,0.08,0.28,24.4,24,7,7,10.6,5.1,0.08,+1.4,-0.1
2061,2,19,6,31.6,1.23,0.39,0.11,0.33,20.3,1,0,0,1.1,1.1,0.06,+0.9,+0.9
2062,4,22,8,36.4,1.16,0.42,0.18,0.5,15.3,0,0,0,1.9,1.9,0.09,+2.1,+2.1
2063,3,12,5,41.7,1.22,0.51,0.25,0.6,18.6,0,0,0,1.3,1.3,0.11,+1.7,+1.7
2064,9,36,20,55.6,1.59,0.89,0.25,0.45,17.1,0,0,0,4.7,4.7,0.13,+4.3,+4.3
2065,13,87,34,39.1,2.36,0.92,0.11,0.29,15.4,2,3,4,12.3,9.3,0.11,+0.7,+0.7
2066,1,25,7,28,0.83,0.23,0.04,0.14,23,0,0,0,1,1,0.04,0,0
2067,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2068,0,10,3,30,0.4,0.12,0,0,18.7,0,0,0,0.8,0.8,0.08,-0.8,-0.8
2069,1,5,2,40,2.08,0.83,0.2,0.5,15.7,0,0,0,0.4,0.4,0.08,+0.6,+0.6
2070,0,3,1,33.3,2.06,0.69,0,0,16.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2
2071,9,89,28,31.5,3.5,1.1,0.08,0.25,19.8,11,2,3,8.9,6.4,0.07,+0.1,+0.6
